//:csv
//:header
*custom,mission,Coin,>=,4
//:/header
*skybox,sky-w1;
w1/block2,-12,0=0
w1/block2,-10,0=1
w1/block2,-8,0=2
w1/block2,-6,0=3
w1/block2,-4,0=4
w1/block2,-2,0=5
w1/block2,0,0=6
w1/block2,2,0=7
w1/block2,4,0=8
w1/block2,6,0=9
w1/block2,8,0=10
w1/block2,10,0=11
w1/block2,12,0=12
w1/block2,14,0=13
w1/block2,16,0=14
w1/block2,18,0=15
w1/block2,20,0=16
w1/block2,22,0=17
w1/block2,24,0=18
w1/block2,26,0=19
w1/block2,32,0=20
w1/block2,34,0=21
w1/block2,36,0=22
w1/block2,38,0=23
w1/block2,40,0=24
w1/block2,46,0=25
w1/block2,48,0=26
w1/block2,50,0=27
w1/block2,52,0=28
w1/block2,54,0=29
w1/block2,56,0=30
w1/block2,58,0=31
w1/block2,-12,-2=32
w1/block2,2,-2=33
dende,8,-2=34
toright,14,-2=35
dende2,18,-2=36
sunsun,50,-2=37
w1/block2,58,-2=38
w1/block2,60,-2=39
w1/block2,-12,-4=40
w1/block2,2,-4=41
coin/coin1,34,-4=42
coin/coin1,36,-4=43
coin/coin1,38,-4=44
coin/coin1,40,-4=45
w1/block2,60,-4=46
w1/block2,62,-4=47
w1/block2,68,-4=48
w1/block2,70,-4=49
w1/block2,72,-4=50
w1/block2,74,-4=51
w1/block2,-12,-6=52
w1/block2,-8,-6=53
sunsun_anim,54,-6=54
w1/block2,74,-6=55
w1/block2,76,-6=56
w1/block2,78,-6=57
w1/block2,80,-6=58
w1/block2,82,-6=59
w1/block2,84,-6=60
w1/block2,86,-6=61
w1/block2,88,-6=62
w1/block2,90,-6=63
w1/block2,92,-6=64
w1/block2,-12,-8=65
w1/block2,-8,-8=66
w1/block2,92,-8=67
w1/block2,-12,-10=68
w1/block2,-8,-10=69
w1/block2,-6,-10=70
w1/block2,-4,-10=71
w1/block2,-2,-10=72
w1/block2,0,-10=73
w1/block2,2,-10=74
w1/block2,4,-10=75
w1/block2,6,-10=76
w1/block2,8,-10=77
w1/block2,10,-10=78
w1/block2,12,-10=79
w1/block2,14,-10=80
w1/block2,16,-10=81
w1/block2,18,-10=82
w1/block2,20,-10=83
w1/block2,22,-10=84
w1/block2,24,-10=85
w1/block2,26,-10=86
w1/block2,28,-10=87
w1/block2,30,-10=88
w1/block2,32,-10=89
w1/block2,34,-10=90
w1/block2,36,-10=91
w1/block2,38,-10=92
w1/block2,40,-10=93
w1/block2,42,-10=94
w1/block2,44,-10=95
w1/block2,46,-10=96
w1/block2,48,-10=97
w1/block2,50,-10=98
w1/block2,52,-10=99
w1/block2,54,-10=100
w1/block2,56,-10=101
w1/block2,58,-10=102
w1/block2,60,-10=103
w1/block2,68,-10=104
w1/block2,70,-10=105
supergrape,76,-10=106
w1/block2,92,-10=107
w1/block2,-12,-12=108
w1/block2,-8,-12=109
sunsun_anim,52,-12=110
w1/block2,68,-12=111
w1/block2,92,-12=112
w1/block2,-12,-14=113
w1/block2,-8,-14=114
coin/coin4,-4,-14=115
coin/coin4,-2,-14=116
coin/coin4,0,-14=117
coin/coin3,2,-14=118
coin/coin3,4,-14=119
coin/coin3,6,-14=120
coin/coin2,8,-14=121
coin/coin2,10,-14=122
coin/coin2,12,-14=123
coin/coin1,14,-14=124
coin/coin1,16,-14=125
coin/coin1,18,-14=126
supergrape,54,-14=127
supergrape,56,-14=128
w1/block2,68,-14=129
w1/block2,92,-14=130
w1/block2,-12,-16=131
w1/block2,-8,-16=132
w1/block2,82,-16=133
w1/block2,84,-16=134
w1/block2,86,-16=135
w1/block2,88,-16=136
w1/block2,90,-16=137
w1/block2,92,-16=138
w1/block2,-12,-18=139
w1/block2,-10,-18=140
w1/block2,-8,-18=141
w1/block2,82,-18=142
toride,88,-10=143
@goalobj,82,-11=144
@outofarea,-1,4=145
@halstar,-10,-13=146
