//:csv
//:header
:sc,main,1
@halstar,-10,2.3
@camera,0,4.5,-10
*custom,cameralock,vertical
@outofarea,11,-8
*custom,mission,Coin,>=,40
//:/header
*skybox,sky-w1;
*sound,bgmz;
*custom,camerahalstar,-2;
w1/block2,90,4=0
naanaa,128,4=1
w1/block2,32,2=2
w1/block2,34,2=3
w1/block2,36,2=4
naanaa,134,2=5
bridge1,-14,0=6
w1/block2,-12,0=7
w1/block2,-10,0=8
w1/block2,-8,0=9
w1/block2,-6,0=10
w1/block2,6,0=11
w1/block2,14,0=12
w1/block2,20,0=13
w1/block2,22,0=14
w1/block2,24,0=15
w1/block2,26,0=16
dende,36,0=17
w1/block2,44,0=18
w1/block2,58,0=19
bridge1,60,0=20
w1/block2,62,0=21
w1/block2,64,0=22
w1/block2,66,0=23
supergrape,126,0=24
*custom,supergrape,td0_126,2
naanaa,138,0=25
naanaa,144,0=26
naanaa,146,0=27
sunsun,4,-2=28
sunsun,20,-2=29
coin/coin1,22,-2=30
coin/coin1,24,-2=31
sunsun,26,-2=32
w1/block2,46,-2=33
w1/block2,58,-2=34
toge,64,-2=35
w1/block2,66,-2=36
w1/block2,68,-2=37
w1/block2,70,-2=38
w1/block2,72,-2=39
w1/block2,74,-2=40
w1/block2,80,-2=41
w1/block2,82,-2=42
w1/block2,84,-2=43
w1/block2,86,-2=44
w1/block2,88,-2=45
bridge1,92,-2=46
w1/block2,94,-2=47
w1/block2,96,-2=48
w1/block2,98,-2=49
w1/block2,100,-2=50
w1/block2,102,-2=51
w1/block2,110,-2=52
w1/block2,112,-2=53
w1/block2,114,-2=54
w1/block2,116,-2=55
w1/block2,118,-2=56
w1/block2,120,-2=57
naanaa,124,-2=58
naanaa,126,-2=59
naanaa,128,-2=60
w1/block2,148,-2=61
w1/block2,150,-2=62
w1/block2,152,-2=63
w1/block2,154,-2=64
w1/block2,156,-2=65
w1/block2,158,-2=66
coin/coin1,20,-4=67
coin/coin1,26,-4=68
coin/coin1,32,-4=69
coin/coin1,34,-4=70
coin/coin1,36,-4=71
w1/block2,48,-4=72
w1/block2,58,-4=73
w1/block2,66,-4=74
coin/coin1,80,-4=75
coin/coin1,84,-4=76
coin/coin1,88,-4=77
coin/coin1,94,-4=78
coin/coin1,114,-4=79
naanaa,132,-4=80
w1/say,-12,-6=81
*custom,sayblock,81,ちなみに、このゲーム結構難しいよ。
bridge1,-8,-6=82
block1,-6,-6=83
bridge1,6,-6=84
block1,8,-6=85
bridge1,14,-6=86
coin/coin1,32,-6=87
coin/coin1,36,-6=88
w1/block2,50,-6=89
w1/block2,58,-6=90
SkeletonBlock,60,-6=91
SkeletonBlock,62,-6=92
SkeletonBlock,64,-6=93
w1/block2,66,-6=94
coin/coin1,82,-6=95
coin/coin1,86,-6=96
coin/coin1,96,-6=97
coin/coin1,112,-6=98
naanaa,134,-6=99
naanaa,136,-6=100
supergrape,142,-6=101
*custom,supergrape,142,3
naanaa,144,-6=102
sunsun,8,-8=103
coin/coin1,32,-8=104
coin/coin1,36,-8=105
w1/say,70,-8=106
*custom,sayblock,106,ぶどうがとれない？それなら、飛び降りてみましょう！
coin/coin1,98,-8=107
coin/coin1,110,-8=108
w1/say,118,-8=109
*custom,sayblock,109,しゅぽんブロックは、空中にいるときは見えません。
naanaa,140,-8=110
naanaa,144,-8=111
coin/coin1,-12,-10=112
coin/coin1,-6,-10=113
coin/coin1,6,-10=114
coin/coin1,10,-10=115
coin/coin1,14,-10=116
coin/coin1,32,-10=117
coin/coin1,34,-10=118
coin/coin1,36,-10=119
coin/coin1,100,-10=120
coin/coin1,108,-10=121
naanaa,142,-10=122
coin/coin1,-12,-12=123
coin/coin1,-6,-12=124
coin/coin1,6,-12=125
coin/coin1,8,-12=126
coin/coin1,10,-12=127
coin/coin1,12,-12=128
coin/coin1,14,-12=129
bridge1,52,-12=130
w1/block2,54,-12=131
w1/block2,56,-12=132
supergrape,62,-12=133
*custom,supergrape,133,1
coin/coin1,102,-12=134
coin/coin1,106,-12=135
coin/coin1,-12,-14=136
coin/coin1,-6,-14=137
coin/coin1,6,-14=138
coin/coin1,10,-14=139
coin/coin1,14,-14=140
coin/coin1,54,-14=141
w1/block2,56,-14=142
w1/block2,58,-14=143
w1/block2,60,-14=144
w1/block2,62,-14=145
w1/block2,64,-14=146
w1/block2,66,-14=147
coin/coin1,104,-14=148
coin/coin1,56,-16=149
coin/coin1,58,-16=150
coin/coin1,60,-16=151
coin/coin1,62,-16=152
coin/coin1,64,-16=153
coin/coin1,66,-16=154
toride,156,-6=155
tyuukan,68,-5=156
@goalobj,150,-7=157
//:footer
rousokun,101,8.1
//:/footer
