//:csv
*skybox,sky-w1-sunset;
*sound,bgmz;
*custom,camerahalstar,-2;
w1/block2,-36,66=0
w1/block2,-34,66=1
w1/block2,-32,66=2
w1/block2,-30,66=3
w1/block2,-28,66=4
w1/block2,-26,66=5
w1/block2,-24,66=6
w1/block2,-22,66=7
w1/block2,-20,66=8
w1/block2,-18,66=9
w1/block2,-16,66=10
w1/block2,-14,66=11
w1/block2,-12,66=12
w1/block2,-10,66=13
w1/block2,-8,66=14
w1/block2,-6,66=15
w1/block2,-4,66=16
w1/block2,-2,66=17
w1/block2,0,66=18
w1/block2,2,66=19
w1/block2,4,66=20
w1/block2,6,66=21
w1/block2,8,66=22
w1/block2,10,66=23
w1/block2,12,66=24
w1/block2,14,66=25
w1/block2,16,66=26
w1/block2,18,66=27
w1/block2,20,66=28
w1/block2,22,66=29
w1/block2,24,66=30
w1/block2,26,66=31
w1/block2,28,66=32
w1/block2,30,66=33
w1/block2,32,66=34
w1/block2,34,66=35
w1/block2,36,66=36
w1/block2,38,66=37
w1/block2,40,66=38
w1/block2,42,66=39
w1/block2,44,66=40
w1/block2,46,66=41
w1/block2,48,66=42
w1/block2,50,66=43
w1/block2,52,66=44
w1/block2,54,66=45
w1/block2,56,66=46
w1/block2,58,66=47
w1/block2,60,66=48
w1/block2,62,66=49
w1/block2,64,66=50
w1/block2,66,66=51
w1/block2,68,66=52
w1/block2,70,66=53
w1/block2,-36,64=54
w1/block2,-16,64=55
hashigo,-14,64=56
w1/block2,8,64=57
w1/block2,54,64=58
w1/block2,70,64=59
w1/block2,-36,62=60
w1/block2,-16,62=61
hashigo,-14,62=62
w1/block2,12,62=63
w1/block2,18,62=64
w1/block2,32,62=65
w1/block2,36,62=66
w1/block2,54,62=67
w1/block2,70,62=68
w1/block2,-36,60=69
w1/block2,-30,60=70
w1/block2,-28,60=71
w1/block2,-26,60=72
w1/block2,-24,60=73
w1/block2,-22,60=74
bridge1,-20,60=75
w1/block2,-16,60=76
hashigo,-14,60=77
w1/block2,22,60=78
w1/block2,26,60=79
w1/block2,42,60=80
w1/block2,58,60=81
w1/block2,70,60=82
w1/block2,-36,58=83
w1/block2,-30,58=84
hashigo,-28,58=85
w1/block2,-16,58=86
hashigo,-14,58=87
w1/block2,46,58=88
w1/block2,58,58=89
w1/block2,70,58=90
w1/block2,-36,56=91
w1/block2,-30,56=92
hashigo,-28,56=93
coin/coin3,-26,56=94
w1/block2,-16,56=95
hashigo,-14,56=96
w1/block2,-10,56=97
w1/block2,-8,56=98
w1/block2,-6,56=99
w1/block2,-4,56=100
w1/block2,-2,56=101
w1/block2,0,56=102
w1/block2,2,56=103
w1/block2,4,56=104
w1/block2,6,56=105
w1/block2,8,56=106
w1/block2,10,56=107
w1/block2,12,56=108
w1/block2,14,56=109
