//:csv
//:header
@goalobj,300,0
toride,300,0
//:/header
*skybox,sky-b;
*sound,doukutsu;
wb/block1,30,18=0
wb/block1,32,18=1
wb/block1,34,18=2
wb/block1,36,18=3
wb/block1,38,18=4
wb/block1,40,18=5
wb/block1,42,18=6
wb/block1,44,18=7
wb/block1,46,18=8
wb/block1,48,18=9
wb/block1,50,18=10
wb/block1,62,18=11
wb/block1,64,18=12
wb/block1,66,18=13
wb/block1,68,18=14
wb/block1,70,18=15
wb/block1,72,18=16
wb/block1,74,18=17
wb/block1,80,18=18
wb/block1,82,18=19
wb/block1,88,18=20
wb/block1,90,18=21
wb/block1,94,18=22
wb/block1,96,18=23
wb/block1,98,18=24
wb/block1,100,18=25
wb/block1,102,18=26
wb/block1,104,18=27
wb/block1,106,18=28
wb/block1,108,18=29
wb/block1,110,18=30
wb/block1,112,18=31
wb/block1,114,18=32
wb/block1,116,18=33
wb/block1,118,18=34
wb/block1,120,18=35
wb/block1,122,18=36
wb/block1,124,18=37
wb/block1,126,18=38
wb/block1,128,18=39
wb/block1,130,18=40
wb/block1,132,18=41
wb/block1,134,18=42
wb/block1,136,18=43
wb/block1,138,18=44
wb/block1,140,18=45
wb/block1,142,18=46
wb/block1,144,18=47
wb/block1,146,18=48
wb/block1,148,18=49
wb/block1,150,18=50
wb/block1,152,18=51
wb/block1,154,18=52
wb/block1,156,18=53
wb/block1,0,16=54
hashigo,4,16=55
wb/block1,6,16=56
wb/block1,8,16=57
wb/block1,10,16=58
wb/block1,12,16=59
wb/block1,14,16=60
wb/block1,16,16=61
wb/block1,18,16=62
wb/block1,20,16=63
wb/block1,22,16=64
wb/block1,24,16=65
wb/block1,26,16=66
wb/block1,28,16=67
wb/block1,30,16=68
sunsun_anim,32,16=69
sunsun_anim,36,16=70
sunsun_anim,40,16=71
sunsun_anim,44,16=72
wb/block1,50,16=73
wb/block1,52,16=74
wb/block1,54,16=75
wb/block1,56,16=76
wb/block1,58,16=77
wb/block1,60,16=78
wb/block1,62,16=79
sunsun_anim,64,16=80
coin/coin1,68,16=81
hashigo,98,16=82
wb/block1,102,16=83
coin/coin1,104,16=84
sunsun,116,16=85
coin/coin1,118,16=86
sunsun,120,16=87
coin/coin1,122,16=88
sunsun,124,16=89
coin/coin1,126,16=90
sunsun,128,16=91
coin/coin1,130,16=92
sunsun,132,16=93
coin/coin1,134,16=94
sunsun,136,16=95
coin/coin1,138,16=96
wb/block1,156,16=97
wb/block1,0,14=98
hashigo,4,14=99
coin/coin1,6,14=100
coin/coin1,8,14=101
coin/coin1,10,14=102
coin/coin1,12,14=103
wb/block1,16,14=104
coin/coin1,18,14=105
coin/coin1,58,14=106
coin/coin1,60,14=107
wb/block1,62,14=108
items/heartball,96,14=109
hashigo,98,14=110
wb/block1,102,14=111
wb/block1,156,14=112
wb/block1,0,12=113
hashigo,4,12=114
wb/block1,16,12=115
coin/coin1,18,12=116
items/heartball,50,12=117
wb/block1,62,12=118
wb/block1,68,12=119
wb/block1,70,12=120
hashigo,98,12=121
wb/block1,102,12=122
wb/block1,106,12=123
wb/block1,108,12=124
wb/block1,110,12=125
wb/block1,112,12=126
wb/block1,156,12=127
wb/block1,0,10=128
hashigo,4,10=129
wb/block1,6,10=130
wb/block1,8,10=131
wb/block1,10,10=132
wb/block1,12,10=133
bridge1,14,10=134
wb/block1,16,10=135
coin/coin1,18,10=136
wb/block1,22,10=137
wb/block1,24,10=138
sunsun,26,10=139
sunsun,28,10=140
coin/coin1,32,10=141
coin/coin1,36,10=142
coin/coin1,40,10=143
coin/coin1,44,10=144
wb/block1,50,10=145
wb/block1,52,10=146
wb/block1,54,10=147
wb/block1,56,10=148
wb/block1,58,10=149
bridge1,60,10=150
wb/block1,62,10=151
wb/block1,70,10=152
sunsun_anim,76,10=153
coin/coin1,78,10=154
sunsun_anim,84,10=155
coin/coin1,86,10=156
sunsun_anim,92,10=157
coin/coin1,94,10=158
coin/coin1,96,10=159
hashigo,98,10=160
sunsun,100,10=161
wb/block1,102,10=162
coin/coin1,110,10=163
wb/block1,112,10=164
wb/block1,156,10=165
wb/block1,0,8=166
hashigo,4,8=167
wb/block1,6,8=168
coin/coin1,8,8=169
coin/coin1,10,8=170
wb/block1,16,8=171
coin/coin1,18,8=172
wb/block1,24,8=173
coin/coin1,26,8=174
coin/coin1,28,8=175
wb/block1,50,8=176
coin/coin1,52,8=177
